,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,-0.01125,0.04875,-0.01875,0.015,-0.05375,0.07375,0.0,-0.01125,0.01375,-0.05125
1,-0.01625,0.10125,-0.0125,-0.01875,-0.0575,0.11125,0.01375,0.00875,-0.01375,-0.07125
2,0.01625,0.115,-0.0575,-0.01,-0.09,0.13375,-0.01625,0.00875,0.0075,-0.11875
3,0.00375,0.09375,-0.05625,-0.02625,-0.1175,0.2025,0.00125,0.01625,0.02875,-0.1
4,0.00875,0.12,-0.06125,-0.02375,-0.145,0.2375,-0.015,0.0175,0.0375,-0.1
5,-0.0275,0.16625,-0.04625,-0.02375,-0.18375,0.2825,-0.00125,0.03875,0.015,-0.0825
6,-0.00625,0.1875,-0.05125,-0.0275,-0.18625,0.34,0.00375,0.03125,0.01625,-0.06375
7,0.0,0.23125,-0.07125,-0.03,-0.215,0.37,-0.025,0.0225,0.01625,-0.05875
8,-0.015,0.25125,-0.08375,-0.0125,-0.2275,0.40875,-0.00875,0.03125,0.0225,-0.06375
9,0.00625,0.25375,-0.08,-0.025,-0.22375,0.43625,-0.0075,0.03375,0.02625,-0.0675
10,0.01625,0.26875,-0.06875,-0.03125,-0.23375,0.47,-0.025,0.05375,0.03125,-0.06375
11,0.02125,0.2575,-0.07125,-0.02375,-0.25,0.47625,-0.03625,0.05375,0.03,-0.06125
12,0.01375,0.29125,-0.1075,-0.025,-0.25,0.49375,-0.0225,0.02875,0.0025,-0.07125
13,0.03125,0.30625,-0.11125,-0.02375,-0.23625,0.50875,-0.0225,0.035,-0.01625,-0.08875
14,0.01625,0.28875,-0.1125,-0.03,-0.22,0.53625,-0.03125,0.02625,-0.03125,-0.08375
15,0.0175,0.30375,-0.125,-0.0325,-0.23875,0.545,-0.03125,-0.00125,-0.03625,-0.07875
16,0.02,0.2975,-0.1175,-0.01125,-0.23625,0.5475,-0.01625,-0.0175,-0.0475,-0.06375
17,0.04,0.30375,-0.09625,0.00125,-0.2275,0.53875,-0.0025,-0.025,-0.045,-0.08
18,0.01375,0.3025,-0.09875,0.02,-0.235,0.54125,-0.00625,-0.02,-0.03625,-0.11875
19,0.0125,0.32875,-0.10375,0.04375,-0.2375,0.57,-0.01375,-0.0125,-0.035,-0.11125
20,0.01875,0.33125,-0.095,0.0475,-0.245,0.58625,-0.005,-0.015,-0.0425,-0.13125
21,0.0325,0.32875,-0.06125,0.06875,-0.26375,0.59,0.0075,-0.02,-0.065,-0.10625
22,0.03,0.32125,-0.07375,0.08625,-0.2875,0.61875,0.01125,-0.02,-0.0625,-0.1125
23,0.0475,0.31,-0.0475,0.08875,-0.27125,0.645,0.0075,-0.0525,-0.0475,-0.11625
24,0.0725,0.31375,-0.02625,0.08625,-0.28375,0.665,-0.0075,-0.065,-0.05125,-0.12375
25,0.07375,0.30625,-0.045,0.10875,-0.315,0.68875,0.00875,-0.06875,-0.05,-0.14375
26,0.07,0.31125,-0.055,0.09875,-0.30875,0.69875,-0.01125,-0.09875,-0.0525,-0.1425
27,0.0775,0.31375,-0.04125,0.10875,-0.295,0.72,-0.02,-0.1,-0.06625,-0.155
28,0.08,0.3125,-0.00625,0.10625,-0.28375,0.73125,-0.015,-0.12,-0.075,-0.17
29,0.0975,0.31125,-0.00125,0.12,-0.3,0.7375,-0.0225,-0.12375,-0.07,-0.185
30,0.105,0.31125,0.0,0.12625,-0.29625,0.74,-0.0225,-0.1225,-0.09,-0.1975
31,0.11625,0.3525,0.00625,0.12,-0.29625,0.7525,-0.035,-0.12625,-0.09125,-0.2
32,0.11625,0.3525,-0.00125,0.11625,-0.31,0.77625,-0.0275,-0.13625,-0.1,-0.1975
33,0.11375,0.3675,-0.02125,0.12,-0.31625,0.7825,-0.0575,-0.1375,-0.1025,-0.1925
34,0.11625,0.38375,-0.0275,0.12875,-0.31375,0.8025,-0.055,-0.16125,-0.10125,-0.17375
35,0.13625,0.39625,-0.04125,0.13,-0.32,0.81,-0.055,-0.1675,-0.1,-0.15625
36,0.12375,0.40625,-0.055,0.125,-0.335,0.805,-0.0625,-0.18125,-0.11625,-0.16
37,0.15375,0.4225,-0.0675,0.1275,-0.365,0.805,-0.08,-0.18625,-0.12125,-0.15375
38,0.155,0.42375,-0.05125,0.13375,-0.3675,0.8125,-0.085,-0.1875,-0.12125,-0.15125
39,0.1425,0.43375,-0.05,0.1375,-0.3675,0.82125,-0.05625,-0.185,-0.12,-0.14375
40,0.1425,0.4475,-0.04875,0.155,-0.37625,0.82,-0.05625,-0.195,-0.1225,-0.12875
41,0.16125,0.44875,-0.02875,0.1475,-0.38,0.84125,-0.0675,-0.19875,-0.135,-0.11625
42,0.16,0.44875,-0.02875,0.135,-0.37,0.84875,-0.07,-0.20125,-0.1275,-0.11625
43,0.15375,0.46125,-0.0325,0.14625,-0.37375,0.84875,-0.075,-0.2025,-0.1325,-0.0925
44,0.1275,0.4775,-0.05,0.15875,-0.38,0.85,-0.05625,-0.19625,-0.14,-0.0925
45,0.12375,0.455,-0.045,0.17125,-0.39125,0.8525,-0.05375,-0.18875,-0.1325,-0.10375
46,0.13125,0.45625,-0.05625,0.18,-0.38125,0.86,-0.07,-0.1875,-0.1425,-0.095
47,0.1175,0.45,-0.0475,0.1925,-0.3825,0.87375,-0.0625,-0.19625,-0.14875,-0.08375
48,0.12125,0.4575,-0.06125,0.20125,-0.38375,0.88,-0.05375,-0.20125,-0.14875,-0.08
49,0.12375,0.4575,-0.0625,0.19625,-0.39875,0.88375,-0.06,-0.21,-0.15125,-0.0825
50,0.12,0.475,-0.0625,0.205,-0.3975,0.8925,-0.0675,-0.2225,-0.15375,-0.09125
51,0.1,0.49625,-0.045,0.22375,-0.4,0.89375,-0.065,-0.23875,-0.15,-0.1025
52,0.1125,0.5175,-0.055,0.22875,-0.40375,0.8875,-0.06625,-0.25375,-0.15875,-0.11375
53,0.11125,0.51625,-0.055,0.23125,-0.40125,0.885,-0.0675,-0.26125,-0.1575,-0.1125
54,0.095,0.5075,-0.06125,0.21625,-0.40875,0.89125,-0.07,-0.2525,-0.15,-0.10625
55,0.11375,0.51625,-0.06125,0.23,-0.4175,0.90125,-0.0825,-0.24875,-0.1375,-0.10625
56,0.115,0.5175,-0.05125,0.2325,-0.43375,0.9075,-0.08625,-0.25,-0.13375,-0.11625
57,0.11875,0.525,-0.03875,0.22375,-0.4625,0.9,-0.08125,-0.255,-0.14125,-0.12375
58,0.125,0.52625,-0.01875,0.225,-0.48375,0.88875,-0.0825,-0.275,-0.14,-0.13375
