,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,-0.01,0.02875,0.04,-0.0175,-0.035,0.08625,-0.0225,-0.065,0.04375,-0.04625
1,0.01,-0.035,0.0725,-0.0275,-0.0575,0.12375,0.0,-0.12625,0.045,-0.08125
2,-0.04875,-0.0325,0.0775,-0.02375,-0.01625,0.10375,0.0175,-0.03375,0.02625,-0.015
3,-0.06,0.01125,0.0575,-0.0525,0.00625,0.095,0.085,-0.0675,0.02125,0.01
4,-0.06,0.0175,0.0725,-0.035,-0.04625,0.0775,0.05,-0.1025,0.0,0.02875
5,0.00125,0.10125,0.05375,-0.06625,-0.00125,0.05,0.0275,-0.08375,0.03,-0.015
6,0.01375,0.0775,0.0275,-0.0975,0.04875,0.0675,-0.04,-0.09,0.03875,-0.0175
7,0.02375,0.02125,0.0725,-0.0425,0.03125,0.0225,-0.0725,-0.105,0.03,-0.02625
8,0.0775,-0.0125,-0.0075,-0.01625,0.05125,-0.02875,-0.05375,-0.11625,0.0525,-0.0375
9,0.02125,-0.00375,-0.02,-0.00625,0.04625,0.0075,-0.04375,-0.13,0.03125,-0.08375
10,0.0125,0.03375,-0.035,-0.00875,0.00875,0.0525,-0.07375,-0.0625,0.02375,-0.09125
11,0.005,0.0725,0.0225,-0.02625,0.0075,-0.0825,-0.015,-0.05,0.07375,-0.0575
12,0.00125,0.0175,0.025,-0.005,-0.04625,-0.06625,-0.02375,-0.07,0.0375,-0.03
13,-0.03,0.00125,0.06125,0.03125,-0.02875,-0.02,-0.065,-0.03375,0.0275,-0.07625
14,-0.0325,-0.025,0.03,0.05625,-0.005,-0.15125,-0.06125,-0.0575,0.02375,-0.0325
15,-0.13375,0.03125,0.0475,0.045,0.06375,-0.17125,-0.02875,-0.08875,0.0325,-0.0575
16,-0.085,0.03625,0.04625,0.08,0.035,-0.1525,-0.0725,-0.11125,-0.00375,0.0225
17,-0.12875,0.0575,0.0225,0.12375,0.01,-0.1325,-0.06125,-0.16125,-0.03625,0.085
18,-0.06875,0.06125,0.035,0.0625,0.03625,-0.125,-0.08125,-0.1425,-0.05375,0.05875
19,-0.0275,0.01,-0.0025,0.0675,0.05125,-0.0925,-0.05875,-0.0725,-0.02875,0.03375
20,0.0525,-0.03375,-0.0225,0.06125,0.0525,-0.05875,-0.08,-0.1125,0.0375,0.00625
21,0.02,0.04125,-0.0275,0.07125,0.0675,-0.00125,-0.10375,-0.10125,-0.0075,0.04375
22,0.0125,0.12,-0.07375,0.06875,0.00125,-0.01625,-0.155,-0.19125,-0.01875,0.04625
23,-0.04,0.1,-0.07875,0.03875,-0.06,-0.0275,-0.16875,-0.1325,-0.04125,0.085
24,0.01125,0.10125,-0.0875,0.0475,-0.04625,0.04625,-0.12875,-0.12875,-0.0125,0.06375
25,0.0125,0.115,-0.0725,-0.005,-0.09,-0.0225,-0.13,-0.1525,-0.01,0.0
26,0.03375,0.11875,-0.11875,0.06125,-0.09,-0.09375,-0.095,-0.13875,-0.01375,0.025
27,0.005,0.09875,-0.105,0.025,-0.08,-0.08125,-0.11125,-0.15625,0.01375,-0.025
28,-0.04125,0.0525,-0.04875,0.03125,-0.0125,-0.0525,-0.13875,-0.13,-0.005,0.02875
29,-0.01625,0.01875,-0.15375,0.01125,-0.07875,-0.025,-0.09125,-0.1375,-0.0125,0.06
30,-0.1,0.0375,-0.0775,0.02875,-0.09875,-0.02875,-0.1425,-0.13,-0.11875,0.01375
31,-0.0925,0.06625,-0.09875,0.0525,-0.07875,-0.03125,-0.10375,-0.125,-0.10375,-0.02375
32,-0.0575,0.07875,-0.04875,0.03125,-0.0825,-0.05,-0.1125,-0.09875,-0.0825,0.00875
33,-0.04625,0.0325,-0.0225,0.06625,-0.07125,-0.00625,-0.095,-0.12625,-0.075,-0.0125
34,-0.04875,-0.0325,-0.07125,0.06625,-0.01625,0.0725,-0.06125,-0.12625,-0.08125,-0.08875
35,-0.06375,-0.02375,-0.04375,0.0625,0.0,0.085,0.01375,-0.0425,-0.09875,0.00125
36,-0.065,-0.0375,-0.03375,0.055,-0.01125,0.07125,0.01125,0.00375,-0.08,0.015
37,-0.02375,-0.08625,-0.0475,0.05125,-0.00125,0.07625,0.02875,-0.01375,-0.06125,0.0025
38,-0.03875,-0.07625,0.01375,0.0325,-0.03875,0.0925,0.04375,-0.02375,-0.0925,-0.025
39,-0.04625,-0.02,0.01,0.075,0.01,0.04625,0.00875,-0.07,-0.02625,0.0425
40,-0.06125,-0.0275,0.0225,0.09875,-0.01125,-0.025,0.025,-0.025,-0.0325,0.00625
41,-0.07375,-0.08625,-0.0425,0.03375,-0.03875,-0.00375,0.04125,-0.0025,-0.04125,0.01625
42,-0.03,-0.105,0.0075,0.05875,-0.00875,0.00625,0.0375,-0.005,-0.0875,0.065
43,-0.00875,-0.1225,-0.02625,0.07125,-0.0375,0.02375,0.0575,-0.01875,-0.0825,0.075
44,0.025,-0.09375,-0.05,0.00375,-0.02625,0.06375,0.01875,0.02875,-0.11,0.02625
45,0.03125,-0.06125,-0.07625,0.00375,0.0075,0.0325,0.03625,0.06125,-0.1425,0.0725
46,0.01125,-0.06875,-0.1075,0.01625,0.005,-0.00375,0.055,0.01625,-0.04,0.0825
47,0.065,-0.1125,-0.10625,0.0275,0.04375,0.02625,0.05875,0.0375,-0.0275,0.07125
48,0.0625,-0.05625,-0.10375,0.0375,-0.03375,0.02,0.07875,0.0125,0.01875,0.02
49,0.09125,-0.07625,-0.05,0.06625,-0.10125,0.0,0.03,0.04625,0.06625,0.02875
50,0.10875,-0.09125,0.03125,0.08,-0.10875,0.0075,0.0425,0.09875,0.025,-0.01875
51,0.07875,-0.09875,0.07375,0.01,-0.0425,-0.0375,0.0175,0.0925,0.03875,-0.01125
52,0.08125,-0.08,0.09125,-0.02125,-0.0325,-0.0075,0.01,0.07375,0.06,-0.05
53,0.1275,-0.06125,0.08375,-0.0225,-0.065,-0.02125,0.0,0.0525,0.06125,-0.01125
54,0.03,-0.0575,0.05875,-0.06875,-0.05125,0.01625,-0.01,-0.0075,0.125,0.0
55,0.0175,-0.02625,0.0925,-0.06625,-0.0225,0.02625,0.0275,-0.00375,0.1075,-0.00875
56,-0.02125,-0.04125,0.10875,-0.06625,-0.02375,0.03375,0.0575,-0.04125,0.06125,-0.04375
57,-0.05375,0.00375,0.0825,-0.00625,0.035,0.0125,0.06625,-0.01875,0.0875,-0.0725
58,-0.05375,0.02125,0.05375,0.01125,0.0175,0.0475,0.00375,0.01375,0.0675,-0.0425
59,-0.05625,0.04,0.0525,-0.03,0.0175,0.0975,0.07375,0.0175,0.04125,0.0125
60,-0.0525,0.0525,0.01625,0.01,-0.00625,0.08,0.055,0.01875,0.11,0.025
61,-0.0325,0.045,0.00875,0.005,0.07625,0.06875,0.0675,0.045,0.1125,0.03625
62,0.005,0.06,-0.05125,-0.06625,0.065,0.0925,0.0425,-0.02,0.0525,-0.01125
63,0.01,0.02,-0.11875,-0.04625,0.04375,0.02375,0.02,-0.02375,0.0025,-0.0625
64,0.0,-0.0225,-0.0475,-0.08,0.03625,-0.005,0.0575,0.01875,0.0525,-0.05875
65,0.085,-0.01125,-0.07,-0.08375,0.02375,-0.02625,-0.00875,-0.00875,0.085,-0.0875
66,0.085,0.07,-0.09375,-0.04875,0.03,-0.055,-0.07,-0.02625,0.1275,-0.11875
67,0.16375,0.10875,-0.095,-0.1225,0.01875,-0.045,-0.065,0.01,0.13625,-0.11375
68,0.1525,0.09875,-0.0775,-0.1075,-0.0125,-0.0275,-0.04,-0.005,0.12875,-0.09375
69,0.1575,0.0875,0.015,-0.0825,-0.0275,-0.0325,-0.0175,-0.03,0.13875,-0.1125
70,0.16125,0.09,-0.00375,-0.06875,0.04625,-0.03625,-0.08625,-0.045,0.13125,-0.06875
71,0.10125,0.065,-0.02125,-0.115,0.02625,0.02125,-0.09,-0.05375,0.11,-0.15125
72,0.0825,0.08,-0.04,-0.14375,0.055,0.03375,-0.02,-0.01875,0.12625,-0.1175
73,0.07125,0.03625,-0.01375,-0.14125,0.06,0.0325,-0.03625,-0.03125,0.09375,-0.12375
74,0.02,0.035,-0.02875,-0.06,0.02375,-0.01125,0.03,-0.0425,0.05375,-0.0525
75,0.01125,0.03375,0.0425,-0.015,0.0825,-0.02625,-0.035,-0.05625,0.0325,0.0275
76,0.0,0.04,0.01875,-0.065,0.07625,-0.0125,-0.085,-0.0925,-0.01875,0.01
77,0.00625,-0.00625,0.0275,-0.00625,-0.0125,0.04625,-0.06,-0.11125,-0.08875,-0.0075
78,0.01375,-0.01,0.055,-0.035,0.0,0.0425,-0.005,-0.0925,-0.08875,0.06125
79,0.04,0.01125,0.0275,-0.0025,-0.03125,-0.0225,0.01375,-0.08875,-0.0325,0.025
80,0.0425,0.01875,0.0575,-0.015,-0.06,0.0125,-0.00125,-0.06125,-0.0025,0.015
81,-0.0525,0.02,0.0325,-0.03875,-0.02875,-0.005,0.0375,-0.03875,0.02375,0.03125
82,-0.04125,-0.0325,0.025,-0.03375,-0.05,0.01,0.0275,-0.0825,0.015,0.06125
83,-0.03375,-0.01375,-0.035,-0.0675,-0.035,0.03625,0.0125,-0.07125,-0.04,0.055
84,-0.03125,-0.00875,-0.07875,-0.06125,-0.0275,0.03125,0.03875,-0.0875,-0.045,0.00875
85,-0.035,-0.03625,0.02125,-0.08875,-0.01875,0.04125,0.0075,-0.06,-0.02625,0.00625
86,-0.01125,0.005,-0.045,-0.0975,0.00375,0.04,0.05625,-0.03875,-0.01375,0.02625
87,0.0175,-0.01625,-0.05375,-0.12375,0.015,0.0275,0.01375,-0.015,-0.04625,-0.00125
88,0.05,0.03875,-0.005,-0.10625,0.015,0.02,0.00875,-0.0625,-0.015,0.03
89,-0.01375,0.01625,0.0075,-0.05125,0.00875,-0.05125,-0.025,-0.0375,-0.04375,0.0225
90,-0.00875,0.07625,-0.01375,-0.045,0.0175,-0.06125,0.045,-0.0575,0.0025,0.07875
91,-0.04875,0.08875,-0.0025,-0.0975,0.06625,-0.03375,0.065,-0.06125,-0.005,0.10375
92,-0.08375,0.0425,0.0075,-0.0925,0.01375,-0.0875,0.04625,0.05,-0.01625,0.135
93,-0.0175,0.01875,-0.01375,-0.08625,0.03625,-0.02,0.03625,0.06375,-0.05125,0.12
94,-0.045,0.0275,-0.065,-0.08125,0.03625,-0.03,0.04875,0.11625,-0.085,0.075
95,-0.03625,0.0425,-0.1025,-0.075,0.0375,-0.0175,0.07875,0.14375,-0.08125,0.04625
96,0.01375,0.0175,-0.035,-0.03375,-0.0025,-0.0175,0.05125,0.07,-0.12,0.08125
97,-0.01125,-0.025,-0.045,-0.04375,0.04,-0.0625,0.05125,0.04375,-0.09375,0.0925
98,-0.00625,0.02625,0.0225,-0.0925,0.04125,-0.01,0.02,0.0,-0.1,0.03875
99,0.0575,0.02375,0.0625,-0.09,0.03875,-0.02375,0.01875,0.0325,-0.125,0.05625
100,0.04125,-0.005,0.0025,-0.13375,0.0225,-0.05,-0.0125,-0.0125,-0.085,0.05625
101,0.02375,0.01875,0.02125,-0.13125,0.02375,-0.03125,-0.04375,0.03,-0.03875,0.03625
102,-0.03625,0.06125,0.03875,-0.115,0.00375,0.0175,-0.05,0.0225,-0.07625,0.015
103,-0.03125,0.0875,-0.0525,-0.0975,-0.06875,0.0275,-0.02875,-0.04,-0.075,0.02625
104,0.00375,0.03875,-0.03625,-0.07875,-0.07,0.03625,-0.02125,0.00375,-0.0275,0.045
105,-0.04125,0.025,-0.0425,-0.07,-0.03375,-0.01125,-0.04625,0.0,0.00625,0.0875
106,-0.0375,0.02,-0.04375,-0.09625,0.01625,-0.05875,-0.0975,0.0475,0.06375,0.09375
107,-0.01625,-0.03375,-0.08125,-0.0175,0.0025,-0.0725,-0.1325,0.0225,0.0175,0.12
108,-0.02375,-0.0375,-0.125,0.0025,0.02375,-0.04875,-0.1025,0.01125,0.03875,0.13125
109,-0.07875,-0.03875,-0.1025,-0.03,-0.04625,-0.05,-0.16375,0.00625,0.0325,0.155
110,-0.07625,-0.02625,-0.12,-0.0725,-0.05125,-0.07875,-0.135,-0.03875,0.03125,0.07
111,-0.06875,-0.04125,-0.11125,-0.0625,-0.04,-0.075,-0.13125,-0.0725,0.06375,0.115
112,-0.03,-0.01125,-0.05875,-0.0425,0.045,-0.0725,-0.20875,-0.05125,0.06375,0.0375
113,-0.0625,-0.0025,-0.08,-0.04625,0.055,-0.0525,-0.15125,-0.0975,0.06,0.02625
114,-0.0525,0.02,-0.065,-0.06375,0.055,-0.04375,-0.1375,-0.0975,0.0025,0.0625
